Edad,Genero,Peso (kg),Altura (m),Maximo_LATIDOS_POR_MINUTO,Promedio_LATIDOS_POR_MINUTO,Reposo_LATIDOS_POR_MINUTO,Duracion_Sesion (horas),Calorias_Quemadas,Tipo_Entrenamiento,Porcentaje_Grasa,Agua (litros),Frecuencia (dias/semanal),Nivel_Experiencia,Indice_De_Masa_Corporal
18,Female,"64,0","1,63",162,120,73,"0,66","580,8",Cardio,2684321536060490000%,"2,19",3,1,"24,1"
18,Female,"62,4","1,59",190,161,50,"1,23","1180,8",Cardio,2663581173039660000%,"2,18",4,2,"24,7"
18,Male,"68,3","1,8",174,153,50,"1,09","786,1",Yoga,223831736280322000%,"3,31",4,2,"21,1"
18,Female,"57,7","1,75",193,160,74,"1,29","1394,4",Strength,212665957838293000%,"2,38",3,2,"18,9"
18,Female,"72,0","1,54",194,125,54,"0,97","960,3",Strength,287755771975559000%,"1,72",2,1,"30,4"
18,Male,"64,7","1,55",184,161,59,"1,43","1027,9",Yoga,294625181084447000%,"2,19",3,2,"26,9"
18,Female,"62,0","1,59",190,162,50,"1,23","1625,0",HIIT,281032829540985000%,"2,19",4,2,"24,5"
18,Male,"87,3","1,94",161,139,72,"1,73","2022,5",Strength,267701578926103000%,"3,5",4,3,"23,2"
18,Male,"114,3","1,97",192,128,60,"1,02","673,2",Yoga,2840273009878010000%,"2,6",3,1,"29,5"
18,Female,"82,4","1,84",190,148,66,"1,73","1803,4",Cardio,249697978268702000%,"3,5",5,3,"24,3"
18,Female,"62,2","1,59",190,162,50,"1,24","1339,2",Strength,270737335250440000%,"2,2",4,2,"24,6"
18,Female,"61,2","1,78",191,126,69,"1,11","1098,9",Strength,2165072859517260000%,"2,1",2,1,"19,3"
18,Female,"57,9","1,61",175,149,71,"1,9","2712,8",HIIT,225117844183824000%,"2,71",4,3,"22,4"
18,Female,"72,2","1,54",194,125,54,"0,97","639,6",Yoga,320110783174982000%,"1,69",2,1,"30,4"
18,Male,"67,0","1,57",193,127,63,"1,08","777,0",Yoga,315781587273342000%,"2,19",3,2,"27,2"
18,Male,"67,4","1,6",182,164,71,"0,6","593,5",Strength,295947452844004000%,"2,4",3,1,"26,3"
18,Female,"57,8","1,61",175,150,71,"1,9","2217,9",Strength,215594639810678000%,"2,71",4,3,"22,3"
18,Female,"126,3","1,66",172,153,60,"1,46","1052,1",Yoga,3500%,"2,19",3,2,"45,8"
18,Female,"72,7","1,55",172,125,56,"0,84","553,9",Yoga,3176465906200820000%,"1,99",3,1,"30,3"
18,Female,"87,7","1,93",161,139,72,"1,71","1332,8",Yoga,2525939624532410000%,"3,5",4,3,"23,5"
18,Male,"67,3","1,6",183,164,71,"0,6","594,5",Strength,260977501548048000%,"2,39",3,1,"26,3"
18,Female,"50,9","1,53",181,147,52,"1,29","1702,8",HIIT,2096815025638410000%,"2,09",3,2,"21,7"
18,Male,"82,2","1,84",190,148,66,"1,73","2473,9",HIIT,24314147910437400%,"3,5",5,3,"24,3"
18,Female,"72,5","1,55",172,125,56,"0,84","739,2",Cardio,2871013214170360000%,"2,01",3,1,"30,2"
18,Female,"68,5","1,8",174,153,50,"1,11","1464,0",HIIT,232159583039811000%,"3,3",4,2,"21,1"
18,Male,"63,1","1,63",162,120,73,"0,67","590,7",Cardio,234118586466262000%,"2,19",3,1,"23,8"
18,Male,"72,7","1,55",172,125,56,"0,84","829,3",Strength,313994696952285000%,"2,01",3,1,"30,2"
18,Female,"67,9","1,8",174,153,50,"1,1","1188,0",Strength,2229445012016430000%,"3,3",4,2,"21,0"
18,Male,"83,2","1,96",183,150,67,"1,83","2618,9",HIIT,2357204885963780000%,"3,51",4,3,"21,7"
18,Male,"126,0","1,67",172,153,60,"1,45","1042,3",Yoga,3500%,"2,2",3,2,"45,2"
18,Male,"57,4","1,75",193,160,74,"1,28","1382,4",Strength,229386897377833000%,"2,44",3,2,"18,8"
18,Female,"70,3","1,6",173,168,71,"1,3","861,1",Yoga,2391227552197900000%,"2,49",2,1,"27,5"
18,Male,"63,6","1,59",185,125,50,"1,86","1451,9",Yoga,2276073647037700000%,"2,69",4,3,"25,2"
18,Male,"62,6","1,59",185,125,50,"1,86","1449,7",Yoga,262171051274100000%,"2,72",4,3,"24,8"
18,Female,"126,0","1,67",172,153,60,"1,45","1917,2",HIIT,3500%,"2,19",3,2,"45,2"
18,Female,"65,6","1,55",184,161,59,"1,41","1352,5",Cardio,274602155236420000%,"2,19",3,2,"27,3"
18,Male,"93,0","1,74",195,168,50,"1,41","1239,7",Cardio,310418166816977000%,"3,13",2,1,"30,7"
18,Female,"64,4","1,53",170,141,54,"1,98","2060,8",Cardio,2817818218961910000%,"2,7",5,3,"27,5"
18,Female,"64,3","1,59",185,125,50,"1,86","1934,4",Cardio,2564254208859870000%,"2,72",4,3,"25,4"
18,Female,"68,0","1,8",174,153,50,"1,1","1456,8",HIIT,2331118110094910000%,"3,3",4,2,"21,0"
18,Female,"87,5","1,93",161,139,72,"1,72","2459,6",HIIT,2128345807861730000%,"3,5",4,3,"23,5"
18,Female,"115,0","1,97",192,128,60,"1,03","907,2",Cardio,27708640014141800%,"2,59",3,1,"29,6"
18,Male,"67,3","1,6",182,164,71,"0,6","594,5",Strength,299955378659174000%,"2,4",3,1,"26,3"
18,Female,"70,1","1,61",173,168,71,"1,31","1582,2",HIIT,263644780978396000%,"2,48",2,1,"27,0"
18,Male,"66,4","1,75",170,122,61,"0,94","929,8",Strength,2562257356838350000%,"1,69",2,1,"21,7"
18,Male,"62,1","1,59",190,162,50,"1,24","893,5",Yoga,2249890992499530000%,"2,2",4,2,"24,6"
18,Female,"72,5","1,54",194,125,54,"0,97","960,3",Strength,32159904968485500%,"1,69",2,1,"30,6"
18,Female,"65,0","1,82",187,149,52,"1,21","1597,2",HIIT,2101541788736750000%,"2,4",3,2,"19,6"
18,Male,"51,9","1,74",187,165,58,"1,2","791,3",Yoga,2070842045170180000%,"2,19",2,1,"17,1"
18,Male,"125,9","1,67",172,153,60,"1,46","1927,2",HIIT,3500%,"2,21",3,2,"45,1"
18,Male,"60,4","1,79",191,126,69,"1,11","1099,9",Strength,2321871541476550000%,"2,11",2,1,"18,9"
18,Female,"64,4","1,82",187,149,52,"1,2","1153,0",Cardio,182552175839906000%,"2,41",3,2,"19,4"
18,Male,"67,1","1,75",170,122,61,"0,93","919,9",Strength,2578400140071570000%,"1,7",2,1,"21,9"
18,Male,"82,3","1,84",190,148,66,"1,74","2035,8",Strength,243856020167822000%,"3,5",5,3,"24,3"
18,Male,"125,7","1,67",172,153,60,"1,46","1925,6",HIIT,3500%,"2,19",3,2,"45,1"
18,Male,"125,1","1,67",172,153,60,"1,47","1059,3",Yoga,3500%,"2,19",3,2,"44,9"
18,Female,"65,2","1,55",184,161,59,"1,42","1872,8",HIIT,27720147123131800%,"2,2",3,2,"27,2"
18,Female,"67,0","1,75",170,122,61,"0,95","1150,5",HIIT,2644709123168770000%,"1,7",2,1,"21,9"
18,Male,"88,0","1,93",161,139,72,"1,71","2000,7",Strength,2614571676248490000%,"3,5",4,3,"23,6"
18,Male,"125,7","1,67",172,153,60,"1,46","1050,3",Yoga,3500%,"2,2",3,2,"45,1"
18,Female,"69,7","1,61",173,168,71,"1,31","1151,8",Cardio,2768429273156570000%,"2,5",2,1,"26,9"
18,Male,"71,8","1,54",194,125,54,"0,97","1171,6",HIIT,3210391355689240000%,"1,67",2,1,"30,3"
18,Male,"64,4","1,53",170,141,54,"1,99","2845,7",HIIT,3127368238982810000%,"2,7",5,3,"27,5"
18,Male,"65,2","1,55",184,161,59,"1,42","1533,6",Strength,2624280744792930000%,"2,2",3,2,"27,1"
18,Male,"91,9","1,74",195,168,50,"1,4","1389,8",Strength,308963774264162000%,"3,11",2,1,"30,4"
18,Male,"65,1","1,55",184,161,59,"1,42","1874,4",HIIT,2853988945934350000%,"2,21",3,2,"27,1"
18,Female,"83,2","1,96",183,149,67,"1,83","1428,5",Yoga,245686130145948000%,"3,49",4,3,"21,7"
18,Male,"118,4","1,64",188,134,67,"0,93","819,9",Cardio,3500%,"2,7",3,1,"44,0"
18,Male,"87,3","1,93",161,139,72,"1,74","1812,4",Cardio,25980332229350800%,"3,5",4,3,"23,4"
18,Male,"54,8","1,68",176,158,71,"1,28","1688,2",HIIT,1974397577325690000%,"2,2",4,2,"19,4"
18,Female,"87,8","1,93",161,138,72,"1,72","2467,2",HIIT,288251208447723000%,"3,5",4,3,"23,6"
18,Male,"64,6","1,82",187,149,52,"1,19","1572,1",HIIT,230474623437814000%,"2,4",3,2,"19,5"
18,Female,"67,5","1,8",174,153,50,"1,09","1437,6",HIIT,1958714970242050000%,"3,31",4,2,"20,8"
18,Male,"67,4","1,75",170,122,61,"0,93","613,2",Yoga,265972437005539000%,"1,7",2,1,"22,0"
18,Female,"118,7","1,64",188,134,67,"0,94","929,8",Strength,3500%,"2,68",3,1,"44,1"
18,Male,"69,3","1,61",173,168,71,"1,31","1586,5",HIIT,2334734462765200000%,"2,5",2,1,"26,7"
18,Female,"73,9","1,55",172,126,56,"0,84","738,5",Cardio,3206691667008110000%,"1,97",3,1,"30,8"
18,Female,"63,2","1,63",162,120,73,"0,66","799,3",HIIT,279640690612296000%,"2,19",3,1,"23,8"
18,Female,"61,9","1,85",161,120,53,"0,87","767,0",Cardio,1887569323910540000%,"3,03",3,1,"18,1"
18,Male,"62,2","1,85",161,121,53,"0,88","773,7",Cardio,2149171879316740000%,"3,02",3,1,"18,2"
18,Female,"60,9","1,79",191,126,69,"1,11","976,8",Cardio,19722934914691100%,"2,12",2,1,"19,0"
18,Male,"113,8","1,98",192,128,60,"1,03","1019,7",Strength,2976712419479890000%,"2,61",3,1,"29,0"
18,Male,"67,4","1,59",182,164,71,"0,59","518,3",Cardio,2915369103965960000%,"2,41",3,1,"26,6"
18,Male,"114,7","1,97",192,128,60,"1,03","1244,0",HIIT,309081654331314000%,"2,6",3,1,"29,5"
18,Female,"62,7","1,63",162,120,73,"0,66","800,8",HIIT,2412710821651900000%,"2,19",3,1,"23,6"
18,Male,"66,6","1,75",170,122,61,"0,95","939,6",Strength,246703131833235000%,"1,71",2,1,"21,7"
18,Female,"63,5","1,82",187,149,52,"1,21","1161,6",Cardio,187458944660862000%,"2,38",3,2,"19,2"
18,Female,"58,0","1,61",175,149,71,"1,9","2714,9",HIIT,243429391435233000%,"2,72",4,3,"22,4"
18,Male,"67,5","1,6",182,164,71,"0,6","396,4",Yoga,292257581819194000%,"2,41",3,1,"26,4"
18,Male,"92,2","1,74",195,168,50,"1,41","1706,1",HIIT,343893947276504000%,"3,12",2,1,"30,5"
18,Male,"69,9","1,61",173,168,71,"1,3","1571,6",HIIT,239917948561064000%,"2,5",2,1,"27,0"
18,Female,"126,1","1,67",172,153,60,"1,47","1940,4",HIIT,3500%,"2,21",3,2,"45,2"
18,Male,"87,9","1,93",161,139,72,"1,71","1333,8",Yoga,263479051662333000%,"3,47",4,3,"23,6"
18,Male,"125,2","1,67",172,152,60,"1,46","1051,2",Yoga,3500%,"2,2",3,2,"44,9"
